length_sku_key,current_bucket,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
lookup error,lookup error,57.15,2.5,6020.0,6.02,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,60.0,0.0,"state bucket key, grade, cut type, then assign bucket",,,,
48-0-1.2-5.285-ERW 1-FC,lookup error,48,1.2,5285.0,5.285,ERW 1,Fin cut,4038150,0789,,,Yes,48.0,0.0,assign bucket,,,,
25.4-0-1.6-5.84-ERW 1-FC,25.4-0-1.6-ERW 1-FC,25.4,1.6,5840.0,5.84,ERW 1,Non fin cut,4149395,0789,4149395,,Yes,31.0,0.0,add code to Bucketting,,,,
lookup error,lookup error,19.05,2.3,7000.0,7.0,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,30.0,16.932,"state bucket key, grade, cut type, then assign bucket",,,,
45-0-1.6-6.4-ERW 2-FC,lookup error,45,1.6,6400.0,6.4,ERW 2,Fin cut,3702882,0789,,,Yes,28.0,2.663,assign bucket,,,,
42.7-0-1.6-5.94-ERW 2-FC,lookup error,42.7,1.6,5940.0,5.94,ERW 2,Fin cut,4230724,0789,4230724,,Yes,25.0,2.562,assign bucket; add code to Bucketting,,,,
lookup error,lookup error,29.4,4.5,4440.0,4.44,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,25.0,0.0,"state bucket key, grade, cut type, then assign bucket",,,,
45-0-1.4-6.4-ERW 2-FC,lookup error,45,1.4,6400.0,6.4,ERW 2,Fin cut,3514971,0789,,,Yes,24.0,9.567,assign bucket,,,,
25.4-0-1.4-6.06-ERW 1-FC,lookup error,25.4,1.4,6060.0,6.06,ERW 1,Fin cut,"3557792, 3570429","056, 0789",,,Yes,23.0,15.968,assign bucket,,,,
57.15-0-3-5.65-ERW 1-NFC,lookup error,57.15,3,5650.0,5.65,ERW 1,lookup error,3501105,056,,,Yes,22.0,10.141,assign bucket,,,,
34.93-0-1.2-5.9-ERW 1-FC,lookup error,34.93,1.2,5900.0,5.9,ERW 1,Fin cut,3499396,056,,,Yes,20.0,2.32,assign bucket,,,,
