length_sku_key,current_bucket,supplied_to,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
15.88-0-1.4-6-ERW 1-NFC,none - RE or HMSIL size,RE or HMSIL,15.88,1.4,6000.0,6.0,ERW 1,Non fin cut,lookup error,,,,Yes,0.0,7.367,name a material code,,,,
19-12.5-3.25-6.2-CEW-NFC,19-12.5-3.25-CEW-CEW,TVSM,19,3.25,6200.0,6.2,nan,lookup error,lookup error,,,,Yes,0.0,1.565,name a material code,,,,
19.05-0-2-5.58-ERW 1-NFC,19.05-0-2-ERW 1-PE,TVSM,19.05,2,5580.0,5.58,ERW 1,lookup error,lookup error,,,,Yes,0.0,0.887,name a material code,,,,
19.05-0-2-5.955-ERW 1-NFC,19.05-0-2-ERW 1-PE,TVSM,19.05,2,5955.0,5.955,ERW 1,lookup error,lookup error,,,,Yes,0.0,0.941,name a material code,,,,
19.05-0-2.3-6.32-ERW 1-NFC,19.05-0-2.3-ERW 1-PE,TVSM,19.05,2.3,6320.0,6.32,ERW 1,Non fin cut,lookup error,,,,Yes,0.0,17.233,name a material code,,,,
22.23-0-1.2-5.3-ERW 1-NFC,22.23-0-1.2-ERW 1-PE,TVSM,22.23,1.2,5300.0,5.3,nan,lookup error,lookup error,,,,Yes,0.0,6.466,name a material code,,,,
25.4-0-1.6-5.27-ERW 1-FC,25.4-0-1.6-ERW 1-FC,TVSM,25.4,1.6,5270.0,5.27,nan,lookup error,lookup error,,,,Yes,0.0,2.504,name a material code,,,,
25.4-0-2.5-3.5-CEW-NFC,25.4-0-2.5-CEW-CEW,TVSM,25.4,2.6,3500.0,3.5,CEW,Fin cut,lookup error,,,056: NEW MCR,Yes,0.0,3.479,name a material code,,,,
31.75-0-1.2-6-ERW 1-FC,31.75-0-1.2-ERW 1-FC,TVSM,31.75,1.2,6000.0,6.0,ERW 1,Fin cut,3884381,056,3884381,,Yes,0.0,21.177,add code to Bucketting,,,,
31.75-0-2.3-6-ERW 1-FC,31.75-0-2.3-ERW 1-FC,TVSM,31.75,2.3,6000.0,6.0,nan,lookup error,lookup error,,,,Yes,0.0,20.336,name a material code,,,,
31.9-0-4.55-6-CEW-FC,none - RE or HMSIL size,RE or HMSIL,31.9,4.55,6000.0,6.0,CEW,Fin cut,lookup error,,,,Yes,0.0,13.166,name a material code,,,,
38.1-0-1.6-5.88-ERW 1-FC,38.1-0-1.6-ERW 1-FC,TVSM,38.1,1.6,5880.0,5.88,ERW 1,Fin cut,lookup error,,,,Yes,0.0,6.318,name a material code,,,,
41.28-0-3.2-5.94-ERW 1-FC,41.28-0-3.2-ERW 1-FC,TVSM,41.28,3.15,5940.0,5.94,nan,lookup error,lookup error,,,,Yes,0.0,14.005,name a material code,,,,
45-0-1.4-5.7-ERW 1-FC,none - RE or HMSIL size,RE or HMSIL,45,1.4,5700.0,5.7,ERW 1,Fin cut,lookup error,,,,Yes,0.0,5.14,name a material code,,,,
50-50-1.6-6.121-ERW 1-NFC,50-50-1.6-ERW 1-PE,TVSM,50,1.6,6121.0,6.121,ERW 1,Fin cut,lookup error,,,,Yes,0.0,15.197,name a material code,,,,
